NP_001007702.1 Q5PQR5
NP_001009700.1 Q5GH59
NP_001011971.1 Q5GH54
NP_001012229.1 Q5EB98
NP_001012482.1 P70602
NP_001013129.1 Q6AXZ6
NP_001013244.1 Q641W6
NP_001013978.1 Q6AY03
NP_001014121.1 Q5M870
NP_001014122.1 Q56UD9
NP_001014784.1 Q5BJ95
NP_001015011.2 Q561R9
NP_001019418.1 Q56DL5
NP_001019450.1 Q5XI14
NP_001019511.2 R9PXX4
NP_001020061.1 Q4V8B6
NP_001020594.1 Q4QQW3
NP_001020866.1 Q4KM69
NP_001020879.1 Q4KLH3
NP_001020906.1 Q4KLL0
NP_001028877.1 Q3T1G8
NP_001030007.1 Q3KR73
NP_001032619.1 Q32ZH4
NP_001032623.1 A0A0G2JSY0
NP_001073167.1 Q32ZH5
NP_001094004.1 A1A5P2
NP_001094312.1 B0K031
NP_001100100.1 F1LQ93
NP_001100103.1 D3ZQ55
NP_001100365.1 D4A4B1
NP_001100366.2 D3ZYF2
NP_001100367.1 D4A505
NP_001100368.1 G3V7M4
NP_001100369.1 D4A831
NP_001100371.2 D4A263
NP_001100387.1 D4ACK7
NP_001101367.1 F1M2W7
NP_001101371.1 D4A5X7
NP_001101372.1 D3ZHK4
NP_001101679.1 G3V923
NP_001101680.1 D3ZR46
NP_001102260.1 D4A6E6
NP_001102261.1 D3ZUB4
NP_001102263.1 D3ZKI5
NP_001102475.1 B2GV96
NP_001102728.1 D3ZRM5
NP_001102729.2 D3Z946
NP_001102730.1 D3ZVT4
NP_001102774.1 B0BNG3
NP_001108496.1 D3ZD71
NP_001116419.2 B1H233
NP_001120967.1 B1WBU1
NP_001121041.1 B0BN74
NP_001121667.1 B5DFM5
NP_001128115.2 D4AAF1
NP_001128435.1 P46418
NP_001128486.1 D3ZWP1
NP_001153211.1 D3ZFP4
NP_001178683.1 F1LPI1
NP_001178734.2 D4A629
NP_001178793.1 P83941
NP_001178910.1 P0C588
NP_001244274.1 D4AEP3
NP_001257490.1 D4A631
NP_001257979.1 A0A0G2K8Q5
NP_001258063.1 M0R9C8
NP_001263985.1 P70470
NP_001273954.1 Q9Z137
NP_001289072.1 Q78EG7
NP_001305671.1 Q920F3
NP_037138.1 Q8VI60
NP_072131.1 Q6AZ61
NP_113767.1 P70501
NP_439894.1 Q9QX27
NP_446452.2 Q8CF97
NP_579852.1 Q7TT51
NP_599205.1 Q80ZF7
NP_604461.2 Q6RI86
NP_631928.2 D4AAW9
NP_690600.1 F1LUA2
NP_695222.2 D3ZI87
NP_789827.3 M0RC57
NP_852048.1 D4A7Q3
NP_852143.1 D3ZCW3
NP_997491.1 F1MA61
XP_001070557.1 D3ZF01
XP_001071792.3 A0A0G2KA11
XP_002730055.2 A0A0G2K9J2
XP_002730056.2 A0A0G2K9B4
XP_003749932.1 D3ZVB3
XP_003750715.3 O89044
XP_003750716.3 D3ZHS8
XP_003750717.1 Q9JLA3
XP_003750719.2 A0A0G2K0Q5
XP_003754029.1 A0A0G2K522
XP_006225127.1 D3ZVB9
XP_006225233.1 D3ZTP6
XP_006225234.1 A0A0G2JWM6
XP_006225236.1 D3ZU90
XP_006225237.1 B5DEI4
XP_006237791.1 D3ZZM7
XP_006237809.1 D3ZPH6
XP_006237811.1 A0A0G2K8T8
XP_006237813.1 D3ZS55
